condition,dataset,run,fixed,ml
context_aware,"(3,16)",2,2,1.185
context_aware,"(3,16)",2,3,
context_aware,"(3,16)",2,4,
context_aware,"(3,16)",3,0,3.839
context_aware,"(3,16)",3,1,3.598
context_aware,"(3,16)",3,2,3.443
context_aware,"(3,16)",3,3,
context_aware,"(3,16)",3,4,
context_aware,"(3,16)",4,0,4.679
context_aware,"(3,16)",4,1,4.615
context_aware,"(3,16)",4,2,4.524
context_aware,"(3,16)",4,3,
context_aware,"(3,16)",4,4,
context_aware,"(4,4)",0,0,3.244
context_aware,"(4,4)",0,1,3.007
context_aware,"(4,4)",0,2,2.936
context_aware,"(4,4)",0,3,2.921
context_aware,"(4,4)",0,4,
context_aware,"(4,4)",1,0,4.341
context_aware,"(4,4)",1,1,3.9
context_aware,"(4,4)",1,2,3.759
context_aware,"(4,4)",1,3,3.656
context_aware,"(4,4)",1,4,
context_aware,"(4,4)",2,0,2.451
context_aware,"(4,4)",2,1,2.726
context_aware,"(4,4)",2,2,2.715
context_aware,"(4,4)",2,3,2.723
context_aware,"(4,4)",2,4,
context_aware,"(4,4)",3,0,3.415
context_aware,"(4,4)",3,1,3.25
context_aware,"(4,4)",3,2,3.328
context_aware,"(4,4)",3,3,3.313
context_aware,"(4,4)",3,4,
context_aware,"(4,4)",4,0,3.841
context_aware,"(4,4)",4,1,3.562
context_aware,"(4,4)",4,2,3.673
context_aware,"(4,4)",4,3,3.545
context_aware,"(4,4)",4,4,
context_aware,"(4,8)",0,0,4.816
context_aware,"(4,8)",0,1,4.686
context_aware,"(4,8)",0,2,4.681
context_aware,"(4,8)",0,3,4.658
context_aware,"(4,8)",0,4,
context_aware,"(4,8)",1,0,4.747
context_aware,"(4,8)",1,1,4.729
context_aware,"(4,8)",1,2,4.606
context_aware,"(4,8)",1,3,4.56
context_aware,"(4,8)",1,4,
context_aware,"(4,8)",2,0,4.157
context_aware,"(4,8)",2,1,3.973
context_aware,"(4,8)",2,2,3.903
context_aware,"(4,8)",2,3,3.846
context_aware,"(4,8)",2,4,
context_aware,"(4,8)",3,0,3.212
context_aware,"(4,8)",3,1,3.015
context_aware,"(4,8)",3,2,2.926
context_aware,"(4,8)",3,3,2.867
context_aware,"(4,8)",3,4,
context_aware,"(4,8)",4,0,3.157
context_aware,"(4,8)",4,1,3.077
context_aware,"(4,8)",4,2,3.022
context_aware,"(4,8)",4,3,2.998
context_aware,"(4,8)",4,4,
context_aware,"(5,4)",0,0,3.762
context_aware,"(5,4)",0,1,3.654
context_aware,"(5,4)",0,2,3.665
context_aware,"(5,4)",0,3,3.574
context_aware,"(5,4)",0,4,3.568
context_aware,"(5,4)",1,0,4.443
context_aware,"(5,4)",1,1,4.315
context_aware,"(5,4)",1,2,4.298
context_aware,"(5,4)",1,3,4.219
context_aware,"(5,4)",1,4,4.205
context_aware,"(5,4)",2,0,3.426
context_aware,"(5,4)",2,1,3.475
context_aware,"(5,4)",2,2,3.5
context_aware,"(5,4)",2,3,3.515
context_aware,"(5,4)",2,4,3.509
context_aware,"(5,4)",3,0,3.779
context_aware,"(5,4)",3,1,3.754
context_aware,"(5,4)",3,2,3.829
context_aware,"(5,4)",3,3,3.888
context_aware,"(5,4)",3,4,3.857
context_aware,"(5,4)",4,0,4.434
context_aware,"(5,4)",4,1,4.314
context_aware,"(5,4)",4,2,4.304
context_aware,"(5,4)",4,3,4.316
context_aware,"(5,4)",4,4,4.316
