condition,score,dataset,run,fixed,entropy
context_unaware,NMI_hierarchical,"(3,16)",0,0,0.7777593806967109
context_unaware,NMI_hierarchical,"(3,16)",0,1,0.8446108454998451
context_unaware,NMI_hierarchical,"(3,16)",0,2,0.8530355997906562
context_unaware,NMI_hierarchical,"(3,16)",0,3,
context_unaware,NMI_hierarchical,"(3,16)",0,4,
context_unaware,effectiveness_hierarchical,"(3,16)",0,0,0.9793330141402788
context_unaware,effectiveness_hierarchical,"(3,16)",0,1,0.950084851170281
context_unaware,effectiveness_hierarchical,"(3,16)",0,2,0.9114846774604962
context_unaware,effectiveness_hierarchical,"(3,16)",0,3,
context_unaware,effectiveness_hierarchical,"(3,16)",0,4,
context_unaware,consistency_hierarchical,"(3,16)",0,0,0.6450005511714297
context_unaware,consistency_hierarchical,"(3,16)",0,1,0.7602152776636834
context_unaware,consistency_hierarchical,"(3,16)",0,2,0.8016309097656114
context_unaware,consistency_hierarchical,"(3,16)",0,3,
context_unaware,consistency_hierarchical,"(3,16)",0,4,
context_unaware,NMI_hierarchical,"(3,16)",1,0,0.8984220906964874
context_unaware,NMI_hierarchical,"(3,16)",1,1,0.8996607679506604
context_unaware,NMI_hierarchical,"(3,16)",1,2,0.8804254267333129
context_unaware,NMI_hierarchical,"(3,16)",1,3,
context_unaware,NMI_hierarchical,"(3,16)",1,4,
context_unaware,effectiveness_hierarchical,"(3,16)",1,0,0.884418163052857
context_unaware,effectiveness_hierarchical,"(3,16)",1,1,0.8429312859248552
context_unaware,effectiveness_hierarchical,"(3,16)",1,2,0.8015131704496714
context_unaware,effectiveness_hierarchical,"(3,16)",1,3,
context_unaware,effectiveness_hierarchical,"(3,16)",1,4,
context_unaware,consistency_hierarchical,"(3,16)",1,0,0.9128766313504986
context_unaware,consistency_hierarchical,"(3,16)",1,1,0.9645770389534323
context_unaware,consistency_hierarchical,"(3,16)",1,2,0.9765730450811222
context_unaware,consistency_hierarchical,"(3,16)",1,3,
context_unaware,consistency_hierarchical,"(3,16)",1,4,
context_unaware,NMI_hierarchical,"(3,16)",2,0,0.859060271647415
context_unaware,NMI_hierarchical,"(3,16)",2,1,0.8986018080104685
context_unaware,NMI_hierarchical,"(3,16)",2,2,0.8845706022789747
context_unaware,NMI_hierarchical,"(3,16)",2,3,
context_unaware,NMI_hierarchical,"(3,16)",2,4,
context_unaware,effectiveness_hierarchical,"(3,16)",2,0,0.9154159788872634
context_unaware,effectiveness_hierarchical,"(3,16)",2,1,0.8840942078312605
context_unaware,effectiveness_hierarchical,"(3,16)",2,2,0.8322040687535072
context_unaware,effectiveness_hierarchical,"(3,16)",2,3,
context_unaware,effectiveness_hierarchical,"(3,16)",2,4,
context_unaware,consistency_hierarchical,"(3,16)",2,0,0.8092410086852571
context_unaware,consistency_hierarchical,"(3,16)",2,1,0.9135934783469388
context_unaware,consistency_hierarchical,"(3,16)",2,2,0.9439700207570036
context_unaware,consistency_hierarchical,"(3,16)",2,3,
context_unaware,consistency_hierarchical,"(3,16)",2,4,
context_unaware,NMI_hierarchical,"(3,16)",3,0,0.780703267425289
context_unaware,NMI_hierarchical,"(3,16)",3,1,0.8557861806547001
context_unaware,NMI_hierarchical,"(3,16)",3,2,0.8696040401899312
context_unaware,NMI_hierarchical,"(3,16)",3,3,
context_unaware,NMI_hierarchical,"(3,16)",3,4,
context_unaware,effectiveness_hierarchical,"(3,16)",3,0,0.972825653812246
context_unaware,effectiveness_hierarchical,"(3,16)",3,1,0.9438571003776213
context_unaware,effectiveness_hierarchical,"(3,16)",3,2,0.911774000336323
context_unaware,effectiveness_hierarchical,"(3,16)",3,3,
context_unaware,effectiveness_hierarchical,"(3,16)",3,4,
context_unaware,consistency_hierarchical,"(3,16)",3,0,0.6519502504476447
context_unaware,consistency_hierarchical,"(3,16)",3,1,0.7827482608111415
context_unaware,consistency_hierarchical,"(3,16)",3,2,0.8311624029061284
context_unaware,consistency_hierarchical,"(3,16)",3,3,
context_unaware,consistency_hierarchical,"(3,16)",3,4,
context_unaware,NMI_hierarchical,"(3,16)",4,0,0.7951129167111983
context_unaware,NMI_hierarchical,"(3,16)",4,1,0.788248531975583
context_unaware,NMI_hierarchical,"(3,16)",4,2,0.7523563531291781
context_unaware,NMI_hierarchical,"(3,16)",4,3,
context_unaware,NMI_hierarchical,"(3,16)",4,4,
context_unaware,effectiveness_hierarchical,"(3,16)",4,0,0.721004815946198
context_unaware,effectiveness_hierarchical,"(3,16)",4,1,0.6869914175006093
context_unaware,effectiveness_hierarchical,"(3,16)",4,2,0.6236986375136276
context_unaware,effectiveness_hierarchical,"(3,16)",4,3,
context_unaware,effectiveness_hierarchical,"(3,16)",4,4,
context_unaware,consistency_hierarchical,"(3,16)",4,0,0.8862005768714171
context_unaware,consistency_hierarchical,"(3,16)",4,1,0.9245147049224117
context_unaware,consistency_hierarchical,"(3,16)",4,2,0.947888571660348
context_unaware,consistency_hierarchical,"(3,16)",4,3,
context_unaware,consistency_hierarchical,"(3,16)",4,4,
context_unaware,NMI_hierarchical,"(4,4)",0,0,0.7286836631260957
context_unaware,NMI_hierarchical,"(4,4)",0,1,0.8350478940215346
context_unaware,NMI_hierarchical,"(4,4)",0,2,0.8427900510827402
context_unaware,NMI_hierarchical,"(4,4)",0,3,0.8572722400297635
context_unaware,NMI_hierarchical,"(4,4)",0,4,
context_unaware,effectiveness_hierarchical,"(4,4)",0,0,0.9929044866374268
context_unaware,effectiveness_hierarchical,"(4,4)",0,1,0.9877709534860557
context_unaware,effectiveness_hierarchical,"(4,4)",0,2,0.9549887818718943
context_unaware,effectiveness_hierarchical,"(4,4)",0,3,0.9572367491337285
context_unaware,effectiveness_hierarchical,"(4,4)",0,4,
context_unaware,consistency_hierarchical,"(4,4)",0,0,0.5755299591984835
context_unaware,consistency_hierarchical,"(4,4)",0,1,0.7232269920911178
context_unaware,consistency_hierarchical,"(4,4)",0,2,0.7541833414545298
context_unaware,consistency_hierarchical,"(4,4)",0,3,0.7762121788774674
context_unaware,consistency_hierarchical,"(4,4)",0,4,
context_unaware,NMI_hierarchical,"(4,4)",1,0,0.7517896464141668
context_unaware,NMI_hierarchical,"(4,4)",1,1,0.8181248426432147
context_unaware,NMI_hierarchical,"(4,4)",1,2,0.8399461181734217
context_unaware,NMI_hierarchical,"(4,4)",1,3,0.8410993697239099
context_unaware,NMI_hierarchical,"(4,4)",1,4,
context_unaware,effectiveness_hierarchical,"(4,4)",1,0,0.9929047861099547
context_unaware,effectiveness_hierarchical,"(4,4)",1,1,0.9642275996930986
context_unaware,effectiveness_hierarchical,"(4,4)",1,2,0.980045845885794
context_unaware,effectiveness_hierarchical,"(4,4)",1,3,0.9797803157759962
context_unaware,effectiveness_hierarchical,"(4,4)",1,4,
context_unaware,consistency_hierarchical,"(4,4)",1,0,0.604897475691201
context_unaware,consistency_hierarchical,"(4,4)",1,1,0.7104719316016724
context_unaware,consistency_hierarchical,"(4,4)",1,2,0.7348917170109397
context_unaware,consistency_hierarchical,"(4,4)",1,3,0.7368092523116407
context_unaware,consistency_hierarchical,"(4,4)",1,4,
context_unaware,NMI_hierarchical,"(4,4)",2,0,0.7054061549261904
context_unaware,NMI_hierarchical,"(4,4)",2,1,0.817128895627557
context_unaware,NMI_hierarchical,"(4,4)",2,2,0.8418977543153393
context_unaware,NMI_hierarchical,"(4,4)",2,3,0.8453944984589565
context_unaware,NMI_hierarchical,"(4,4)",2,4,
context_unaware,effectiveness_hierarchical,"(4,4)",2,0,1.0
context_unaware,effectiveness_hierarchical,"(4,4)",2,1,0.9989016069258373
context_unaware,effectiveness_hierarchical,"(4,4)",2,2,0.9947900185598884
context_unaware,effectiveness_hierarchical,"(4,4)",2,3,0.993320698870848
context_unaware,effectiveness_hierarchical,"(4,4)",2,4,
context_unaware,consistency_hierarchical,"(4,4)",2,0,0.5448860718830102
context_unaware,consistency_hierarchical,"(4,4)",2,1,0.6913264346561006
context_unaware,consistency_hierarchical,"(4,4)",2,2,0.729741580217105
context_unaware,consistency_hierarchical,"(4,4)",2,3,0.7358161100447176
context_unaware,consistency_hierarchical,"(4,4)",2,4,
context_unaware,NMI_hierarchical,"(4,4)",3,0,0.7004010767941045
context_unaware,NMI_hierarchical,"(4,4)",3,1,0.8159463344856946
context_unaware,NMI_hierarchical,"(4,4)",3,2,0.840886706390064
context_unaware,NMI_hierarchical,"(4,4)",3,3,0.8437046091583927
context_unaware,NMI_hierarchical,"(4,4)",3,4,
context_unaware,effectiveness_hierarchical,"(4,4)",3,0,0.9929046860491177
context_unaware,effectiveness_hierarchical,"(4,4)",3,1,0.9983523008124316
context_unaware,effectiveness_hierarchical,"(4,4)",3,2,0.9953503396081669
context_unaware,effectiveness_hierarchical,"(4,4)",3,3,0.9937020297028905
context_unaware,effectiveness_hierarchical,"(4,4)",3,4,
context_unaware,consistency_hierarchical,"(4,4)",3,0,0.5410199341355373
context_unaware,consistency_hierarchical,"(4,4)",3,1,0.6898972660567881
context_unaware,consistency_hierarchical,"(4,4)",3,2,0.7279237238003244
context_unaware,consistency_hierarchical,"(4,4)",3,3,0.7330518366595616
context_unaware,consistency_hierarchical,"(4,4)",3,4,
context_unaware,NMI_hierarchical,"(4,4)",4,0,0.700928186083006
context_unaware,NMI_hierarchical,"(4,4)",4,1,0.8103582582141156
context_unaware,NMI_hierarchical,"(4,4)",4,2,0.8370364929299802
context_unaware,NMI_hierarchical,"(4,4)",4,3,0.8353593184194223
context_unaware,NMI_hierarchical,"(4,4)",4,4,
context_unaware,effectiveness_hierarchical,"(4,4)",4,0,0.990226658785876
context_unaware,effectiveness_hierarchical,"(4,4)",4,1,0.9888694561365426
context_unaware,effectiveness_hierarchical,"(4,4)",4,2,0.9854327451664121
context_unaware,effectiveness_hierarchical,"(4,4)",4,3,0.9796188091388042
context_unaware,effectiveness_hierarchical,"(4,4)",4,4,
context_unaware,consistency_hierarchical,"(4,4)",4,0,0.5424495062056736
context_unaware,consistency_hierarchical,"(4,4)",4,1,0.6864415024265678
context_unaware,consistency_hierarchical,"(4,4)",4,2,0.7274846303294831
context_unaware,consistency_hierarchical,"(4,4)",4,3,0.7281337319319159
context_unaware,consistency_hierarchical,"(4,4)",4,4,
context_unaware,NMI_hierarchical,"(4,8)",0,0,0.7721227892406684
context_unaware,NMI_hierarchical,"(4,8)",0,1,0.8371587175958124
context_unaware,NMI_hierarchical,"(4,8)",0,2,0.8408924108579968
context_unaware,NMI_hierarchical,"(4,8)",0,3,0.8306952510141383
context_unaware,NMI_hierarchical,"(4,8)",0,4,
context_unaware,effectiveness_hierarchical,"(4,8)",0,0,0.9958628458848311
context_unaware,effectiveness_hierarchical,"(4,8)",0,1,0.9574885080858365
context_unaware,effectiveness_hierarchical,"(4,8)",0,2,0.9005608308636006
context_unaware,effectiveness_hierarchical,"(4,8)",0,3,0.8517998103672516
context_unaware,effectiveness_hierarchical,"(4,8)",0,4,
context_unaware,consistency_hierarchical,"(4,8)",0,0,0.6304743918461329
context_unaware,consistency_hierarchical,"(4,8)",0,1,0.743696644045656
context_unaware,consistency_hierarchical,"(4,8)",0,2,0.7886395540478326
context_unaware,consistency_hierarchical,"(4,8)",0,3,0.810611198467817
context_unaware,consistency_hierarchical,"(4,8)",0,4,
context_unaware,NMI_hierarchical,"(4,8)",1,0,0.7742075245932664
context_unaware,NMI_hierarchical,"(4,8)",1,1,0.8523743843944641
context_unaware,NMI_hierarchical,"(4,8)",1,2,0.8765566946901018
context_unaware,NMI_hierarchical,"(4,8)",1,3,0.8842701989614855
context_unaware,NMI_hierarchical,"(4,8)",1,4,
context_unaware,effectiveness_hierarchical,"(4,8)",1,0,0.9919223953453113
context_unaware,effectiveness_hierarchical,"(4,8)",1,1,0.9904972933918024
context_unaware,effectiveness_hierarchical,"(4,8)",1,2,0.9835798953954602
context_unaware,effectiveness_hierarchical,"(4,8)",1,3,0.9789836695684793
context_unaware,effectiveness_hierarchical,"(4,8)",1,4,
context_unaware,consistency_hierarchical,"(4,8)",1,0,0.6348628665902138
context_unaware,consistency_hierarchical,"(4,8)",1,1,0.7480590183588793
context_unaware,consistency_hierarchical,"(4,8)",1,2,0.7905383224694051
context_unaware,consistency_hierarchical,"(4,8)",1,3,0.8062665456367765
context_unaware,consistency_hierarchical,"(4,8)",1,4,
context_unaware,NMI_hierarchical,"(4,8)",2,0,0.8680156757913502
context_unaware,NMI_hierarchical,"(4,8)",2,1,0.890530131719803
context_unaware,NMI_hierarchical,"(4,8)",2,2,0.885706715125568
context_unaware,NMI_hierarchical,"(4,8)",2,3,0.8695436548884541
context_unaware,NMI_hierarchical,"(4,8)",2,4,
context_unaware,effectiveness_hierarchical,"(4,8)",2,0,0.8880194663539869
context_unaware,effectiveness_hierarchical,"(4,8)",2,1,0.88205108834254
context_unaware,effectiveness_hierarchical,"(4,8)",2,2,0.8553400481132893
context_unaware,effectiveness_hierarchical,"(4,8)",2,3,0.8148639429911236
context_unaware,effectiveness_hierarchical,"(4,8)",2,4,
context_unaware,consistency_hierarchical,"(4,8)",2,0,0.8488932539245609
context_unaware,consistency_hierarchical,"(4,8)",2,1,0.899173773259308
context_unaware,consistency_hierarchical,"(4,8)",2,2,0.9183089317605604
context_unaware,consistency_hierarchical,"(4,8)",2,3,0.9320895412495014
context_unaware,consistency_hierarchical,"(4,8)",2,4,
context_unaware,NMI_hierarchical,"(4,8)",3,0,0.766944482984652
context_unaware,NMI_hierarchical,"(4,8)",3,1,0.8376554931970701
context_unaware,NMI_hierarchical,"(4,8)",3,2,0.8522229726777165
context_unaware,NMI_hierarchical,"(4,8)",3,3,0.8496148645904315
context_unaware,NMI_hierarchical,"(4,8)",3,4,
context_unaware,effectiveness_hierarchical,"(4,8)",3,0,0.9942916362735674
context_unaware,effectiveness_hierarchical,"(4,8)",3,1,0.9630054724554296
context_unaware,effectiveness_hierarchical,"(4,8)",3,2,0.9301965962769166
context_unaware,effectiveness_hierarchical,"(4,8)",3,3,0.8980570317959685
context_unaware,effectiveness_hierarchical,"(4,8)",3,4,
context_unaware,consistency_hierarchical,"(4,8)",3,0,0.6242160051179286
context_unaware,consistency_hierarchical,"(4,8)",3,1,0.7411795684129712
context_unaware,consistency_hierarchical,"(4,8)",3,2,0.7863105781394915
context_unaware,consistency_hierarchical,"(4,8)",3,3,0.8061312722385123
context_unaware,consistency_hierarchical,"(4,8)",3,4,
context_unaware,NMI_hierarchical,"(4,8)",4,0,0.7777692235857829
context_unaware,NMI_hierarchical,"(4,8)",4,1,0.8279713726198319
context_unaware,NMI_hierarchical,"(4,8)",4,2,0.8330190869626535
context_unaware,NMI_hierarchical,"(4,8)",4,3,0.8334499079040877
context_unaware,NMI_hierarchical,"(4,8)",4,4,
context_unaware,effectiveness_hierarchical,"(4,8)",4,0,0.983553356647965
context_unaware,effectiveness_hierarchical,"(4,8)",4,1,0.9259022845467157
context_unaware,effectiveness_hierarchical,"(4,8)",4,2,0.8818063539436127
context_unaware,effectiveness_hierarchical,"(4,8)",4,3,0.8606616053047098
context_unaware,effectiveness_hierarchical,"(4,8)",4,4,
context_unaware,consistency_hierarchical,"(4,8)",4,0,0.6431963485332584
context_unaware,consistency_hierarchical,"(4,8)",4,1,0.7487748864643793
context_unaware,consistency_hierarchical,"(4,8)",4,2,0.7893472589143329
context_unaware,consistency_hierarchical,"(4,8)",4,3,0.807906188295267
context_unaware,consistency_hierarchical,"(4,8)",4,4,
context_unaware,NMI_hierarchical,"(5,4)",0,0,0.7386158475175121
context_unaware,NMI_hierarchical,"(5,4)",0,1,0.8255986870418668
context_unaware,NMI_hierarchical,"(5,4)",0,2,0.8587932991947294
context_unaware,NMI_hierarchical,"(5,4)",0,3,0.8693026583181653
context_unaware,NMI_hierarchical,"(5,4)",0,4,0.8626643675748731
context_unaware,effectiveness_hierarchical,"(5,4)",0,0,1.0
context_unaware,effectiveness_hierarchical,"(5,4)",0,1,1.0
context_unaware,effectiveness_hierarchical,"(5,4)",0,2,0.9981385726683636
context_unaware,effectiveness_hierarchical,"(5,4)",0,3,0.99119940857504
context_unaware,effectiveness_hierarchical,"(5,4)",0,4,0.9774662986448918
context_unaware,consistency_hierarchical,"(5,4)",0,0,0.5855597964060885
context_unaware,consistency_hierarchical,"(5,4)",0,1,0.7029953712860835
context_unaware,consistency_hierarchical,"(5,4)",0,2,0.7535884758124065
context_unaware,consistency_hierarchical,"(5,4)",0,3,0.7741040825276901
context_unaware,consistency_hierarchical,"(5,4)",0,4,0.7719947567882071
context_unaware,NMI_hierarchical,"(5,4)",1,0,0.6008155870490642
context_unaware,NMI_hierarchical,"(5,4)",1,1,0.6534732413880048
context_unaware,NMI_hierarchical,"(5,4)",1,2,0.6698215840823986
context_unaware,NMI_hierarchical,"(5,4)",1,3,0.6652434170073509
context_unaware,NMI_hierarchical,"(5,4)",1,4,0.6859604378719434
context_unaware,effectiveness_hierarchical,"(5,4)",1,0,0.6599482148532685
context_unaware,effectiveness_hierarchical,"(5,4)",1,1,0.6191191725200795
context_unaware,effectiveness_hierarchical,"(5,4)",1,2,0.608177968745753
context_unaware,effectiveness_hierarchical,"(5,4)",1,3,0.5876641591245473
context_unaware,effectiveness_hierarchical,"(5,4)",1,4,0.6171317722793997
context_unaware,consistency_hierarchical,"(5,4)",1,0,0.5514083404915862
context_unaware,consistency_hierarchical,"(5,4)",1,1,0.6918638098363978
context_unaware,consistency_hierarchical,"(5,4)",1,2,0.7453707674334589
context_unaware,consistency_hierarchical,"(5,4)",1,3,0.7664208689907641
context_unaware,consistency_hierarchical,"(5,4)",1,4,0.7720692725880075
context_unaware,NMI_hierarchical,"(5,4)",2,0,0.7500580227917696
context_unaware,NMI_hierarchical,"(5,4)",2,1,0.8109092641015903
context_unaware,NMI_hierarchical,"(5,4)",2,2,0.8294978676894126
