condition,acc_type,dataset,run,accuracy
context_unaware,val,"(5,4)",0,0.8951366543769836
context_unaware,test,"(5,4)",0,0.8865155577659607
context_unaware,train,"(5,4)",1,0.7661798000335693
context_unaware,val,"(5,4)",1,0.6653931736946106
context_unaware,test,"(5,4)",1,0.6694595217704773
context_unaware,train,"(5,4)",2,0.9246374368667603
context_unaware,val,"(5,4)",2,0.9148547053337097
context_unaware,test,"(5,4)",2,0.9073248505592346
context_unaware,train,"(5,4)",3,0.9339084625244141
context_unaware,val,"(5,4)",3,0.8911548256874084
context_unaware,test,"(5,4)",3,0.8892479538917542
context_unaware,train,"(5,4)",4,0.9641497135162354
context_unaware,val,"(5,4)",4,0.9212238788604736
context_unaware,test,"(5,4)",4,0.9068715572357178
context_aware,train,"(3,4)",0,0.9880890846252441
context_aware,val,"(3,4)",0,0.9606639742851257
context_aware,test,"(3,4)",0,0.9369600415229797
context_aware,train,"(3,4)",1,0.9999759793281555
context_aware,val,"(3,4)",1,0.9837369918823242
context_aware,test,"(3,4)",1,0.9404999613761902
context_aware,train,"(3,4)",2,0.9853757619857788
context_aware,val,"(3,4)",2,0.9517577886581421
context_aware,test,"(3,4)",2,0.9012525081634521
context_aware,train,"(3,4)",3,0.9925746321678162
context_aware,val,"(3,4)",3,0.9677865505218506
context_aware,test,"(3,4)",3,0.9530375003814697
context_aware,train,"(3,4)",4,0.9782273769378662
context_aware,val,"(3,4)",4,0.9503775238990784
context_aware,test,"(3,4)",4,0.9172273874282837
context_aware,train,"(3,8)",0,0.9982814192771912
context_aware,val,"(3,8)",0,0.9866071343421936
context_aware,test,"(3,8)",0,0.9737478494644165
context_aware,train,"(3,8)",1,0.9933648109436035
context_aware,val,"(3,8)",1,0.9824219346046448
context_aware,test,"(3,8)",1,0.9802740216255188
context_aware,train,"(3,8)",2,0.9960523247718811
context_aware,val,"(3,8)",2,0.9885581731796265
context_aware,test,"(3,8)",2,0.9845975637435913
context_aware,train,"(3,8)",3,0.9888176321983337
context_aware,val,"(3,8)",3,0.9795843958854675
context_aware,test,"(3,8)",3,0.9585124850273132
context_aware,train,"(3,8)",4,0.980284571647644
context_aware,val,"(3,8)",4,0.9566149115562439
context_aware,test,"(3,8)",4,0.9519584774971008
context_aware,train,"(3,16)",0,0.9951605796813965
context_aware,val,"(3,16)",0,0.9911856651306152
context_aware,test,"(3,16)",0,0.9912304878234863
context_aware,train,"(3,16)",1,0.9958086609840393
context_aware,val,"(3,16)",1,0.9888027906417847
context_aware,test,"(3,16)",1,0.9855190515518188
context_aware,train,"(3,16)",2,0.9411786198616028
context_aware,val,"(3,16)",2,0.8835982084274292
context_aware,test,"(3,16)",2,0.859307050704956
context_aware,train,"(3,16)",3,0.9969622492790222
context_aware,val,"(3,16)",3,0.9950907826423645
context_aware,test,"(3,16)",3,0.9930416941642761
context_aware,train,"(3,16)",4,0.9938055276870728
context_aware,val,"(3,16)",4,0.9931459426879883
context_aware,test,"(3,16)",4,0.99171382188797
context_aware,train,"(4,4)",0,0.9912763237953186
context_aware,val,"(4,4)",0,0.968795120716095
context_aware,test,"(4,4)",0,0.9694175720214844
context_aware,train,"(4,4)",1,0.9954334497451782
context_aware,val,"(4,4)",1,0.9933793544769287
