condition,rsa,dataset,run,fixed,ml
context_aware,rsa,"(3,16)",0,4,
context_aware,test,"(3,16)",1,0,
context_aware,test,"(3,16)",1,1,3.9
context_aware,test,"(3,16)",1,2,4.471
context_aware,test,"(3,16)",1,3,
context_aware,test,"(3,16)",1,4,
context_aware,rsa,"(3,16)",1,0,
context_aware,rsa,"(3,16)",1,1,3.2
context_aware,rsa,"(3,16)",1,2,3.471
context_aware,rsa,"(3,16)",1,3,
context_aware,rsa,"(3,16)",1,4,
context_aware,test,"(3,16)",2,0,
context_aware,test,"(3,16)",2,1,1.267
context_aware,test,"(3,16)",2,2,1.171
context_aware,test,"(3,16)",2,3,
context_aware,test,"(3,16)",2,4,
context_aware,rsa,"(3,16)",2,0,
context_aware,rsa,"(3,16)",2,1,0.967
context_aware,rsa,"(3,16)",2,2,1.043
context_aware,rsa,"(3,16)",2,3,
context_aware,rsa,"(3,16)",2,4,
context_aware,test,"(3,16)",3,0,
context_aware,test,"(3,16)",3,1,3.267
context_aware,test,"(3,16)",3,2,3.2
context_aware,test,"(3,16)",3,3,
context_aware,test,"(3,16)",3,4,
context_aware,rsa,"(3,16)",3,0,
context_aware,rsa,"(3,16)",3,1,3.067
context_aware,rsa,"(3,16)",3,2,2.871
context_aware,rsa,"(3,16)",3,3,
context_aware,rsa,"(3,16)",3,4,
context_aware,test,"(3,16)",4,0,
context_aware,test,"(3,16)",4,1,4.433
context_aware,test,"(3,16)",4,2,4.529
context_aware,test,"(3,16)",4,3,
context_aware,test,"(3,16)",4,4,
context_aware,rsa,"(3,16)",4,0,
context_aware,rsa,"(3,16)",4,1,3.8
context_aware,rsa,"(3,16)",4,2,4.143
context_aware,rsa,"(3,16)",4,3,
context_aware,rsa,"(3,16)",4,4,
context_aware,test,"(4,4)",0,0,2.34
context_aware,test,"(4,4)",0,1,2.594
context_aware,test,"(4,4)",0,2,2.837
context_aware,test,"(4,4)",0,3,2.661
context_aware,test,"(4,4)",0,4,
context_aware,rsa,"(4,4)",0,0,1.66
context_aware,rsa,"(4,4)",0,1,2.218
context_aware,rsa,"(4,4)",0,2,2.281
context_aware,rsa,"(4,4)",0,3,2.216
