condition,rsa,dataset,run,accuracy
context_unaware,test,"(4,8)",0,0.791999876499176
context_unaware,rsa,"(4,8)",0,0.6755000948905945
context_unaware,test,"(4,8)",1,0.9664599895477295
context_unaware,rsa,"(4,8)",1,0.6315849423408508
context_unaware,test,"(4,8)",2,0.9726499915122986
context_unaware,rsa,"(4,8)",2,0.6348000168800354
context_unaware,test,"(4,8)",3,0.8764998912811279
context_unaware,rsa,"(4,8)",3,0.6514999866485596
context_unaware,test,"(4,8)",4,0.8240000009536743
context_unaware,rsa,"(4,8)",4,0.6819999814033508
context_unaware,test,"(5,4)",0,0.92597496509552
context_unaware,rsa,"(5,4)",0,0.7163799405097961
context_unaware,test,"(5,4)",1,0.6924999356269836
context_unaware,rsa,"(5,4)",1,0.5322650074958801
context_unaware,test,"(5,4)",2,0.9334049820899963
context_unaware,rsa,"(5,4)",2,0.6690199971199036
context_unaware,test,"(5,4)",3,0.8970249891281128
context_unaware,rsa,"(5,4)",3,0.6881800889968872
context_unaware,test,"(5,4)",4,0.9372499585151672
context_unaware,rsa,"(5,4)",4,0.7222899794578552
context_aware,test,"(3,4)",0,0.9379240274429321
context_aware,rsa,"(3,4)",0,0.9727983474731445
context_aware,test,"(3,4)",1,0.9412392377853394
context_aware,rsa,"(3,4)",1,0.9951368570327759
context_aware,test,"(3,4)",2,0.9033575654029846
context_aware,rsa,"(3,4)",2,0.9227055907249451
context_aware,test,"(3,4)",3,0.9494056105613708
context_aware,rsa,"(3,4)",3,0.9531872272491455
context_aware,test,"(3,4)",4,0.9187391400337219
context_aware,rsa,"(3,4)",4,0.9500584602355957
context_aware,test,"(3,8)",0,0.9736230373382568
context_aware,rsa,"(3,8)",0,0.9990348219871521
context_aware,test,"(3,8)",1,0.979988157749176
context_aware,rsa,"(3,8)",1,0.9934312701225281
context_aware,test,"(3,8)",2,0.9835009574890137
context_aware,rsa,"(3,8)",2,0.9911620020866394
context_aware,test,"(3,8)",3,0.9585988521575928
context_aware,rsa,"(3,8)",3,0.9751904010772705
context_aware,test,"(3,8)",4,0.9498521685600281
context_aware,rsa,"(3,8)",4,0.9712214469909668
context_aware,test,"(3,16)",0,0.9922550320625305
context_aware,rsa,"(3,16)",0,0.9977951049804688
context_aware,test,"(3,16)",1,0.9966499209403992
context_aware,rsa,"(3,16)",1,0.9903150796890259
context_aware,test,"(3,16)",2,0.8229999542236328
context_aware,rsa,"(3,16)",2,0.7797949910163879
context_aware,test,"(3,16)",3,0.9995449781417847
context_aware,rsa,"(3,16)",3,0.9993100166320801
context_aware,test,"(3,16)",4,0.9877501130104065
context_aware,rsa,"(3,16)",4,0.997999906539917
context_aware,test,"(4,4)",0,0.9671213030815125
context_aware,rsa,"(4,4)",0,0.9810652136802673
context_aware,test,"(4,4)",1,0.9893274307250977
context_aware,rsa,"(4,4)",1,0.9883840680122375
context_aware,test,"(4,4)",2,0.9721604585647583
context_aware,rsa,"(4,4)",2,0.9677143692970276
context_aware,test,"(4,4)",3,0.9792246222496033
context_aware,rsa,"(4,4)",3,0.9745253920555115
context_aware,test,"(4,4)",4,0.9895972609519958
context_aware,rsa,"(4,4)",4,0.9988164305686951
context_aware,test,"(4,8)",0,0.9924099445343018
context_aware,rsa,"(4,8)",0,0.9925150275230408
context_aware,test,"(4,8)",1,0.9903899431228638
context_aware,rsa,"(4,8)",1,0.9940600395202637
context_aware,test,"(4,8)",2,0.9965201020240784
context_aware,rsa,"(4,8)",2,0.999000072479248
context_aware,test,"(4,8)",3,0.9636299014091492
context_aware,rsa,"(4,8)",3,0.9223201274871826
context_aware,test,"(4,8)",4,0.9310749769210815
context_aware,rsa,"(4,8)",4,0.9028950333595276
context_aware,test,"(5,4)",0,0.9965999722480774
context_aware,rsa,"(5,4)",0,0.9913550019264221
context_aware,test,"(5,4)",1,0.9963899850845337
context_aware,rsa,"(5,4)",1,0.992514967918396
context_aware,test,"(5,4)",2,0.9858400225639343
context_aware,rsa,"(5,4)",2,0.98294997215271
context_aware,test,"(5,4)",3,0.9999549984931946
context_aware,rsa,"(5,4)",3,0.9961599707603455
context_aware,test,"(5,4)",4,0.9735499620437622
context_aware,rsa,"(5,4)",4,0.9229300022125244
